,Period,Close,High,Low,Open,Volume,p_change,Prev Close,TR,atr14,atr21,pct_change,p_score,MA5,MA20,ma5_score,ma20_score,rsi,rsi_score,vol_avg5,vol_avg5_score,z_score,z_score_score,score,score_final
30,2022-08-03,12668.16015625,12699.6396484375,12425.2099609375,12433.8701171875,5667990000.0,-0.0188428893702724,12348.759765625,350.8798828125,283.91196986607144,275.8061290922619,0.02586497726792847,5,12387.8361328125,11801.32958984375,1,1,72.37624231917808,2,4937776000.0,1,1.7440233200451323,4,3.0,93.33333333333333
31,2022-08-04,12720.580078125,12736.1904296875,12600.7802734375,12675.0400390625,5451470000.0,-0.003592891140552826,12668.16015625,135.41015625,279.0484095982143,273.0718470982143,0.004137926994010943,3,12499.4341796875,11856.29111328125,1,1,73.10124555975352,2,5043080000.0,1,0.2302223981819238,3,2.2,66.66666666666666
32,2022-08-05,12657.5498046875,12720.4404296875,12525.76953125,12538.7998046875,4911300000.0,-0.009470603395039974,12720.580078125,194.810546875,271.0927036830357,268.89043898809524,-0.004954984210656432,3,12552.8060546875,11907.403125,1,1,70.69851544485859,2,5043858000.0,0,-0.40331308825131496,3,2.1,63.33333333333334
33,2022-08-08,12644.4599609375,12855.150390625,12597.75,12703.7197265625,5238600000.0,0.0046647570082243225,12657.5498046875,257.400390625,263.6805943080357,271.1509021577381,-0.0010341530511025487,3,12607.901953125,11970.996142578126,1,1,70.182598710811,2,5212300000.0,1,-0.13013482663851667,3,2.2,66.66666666666666
34,2022-08-09,12493.9296875,12582.91015625,12438.8603515625,12557.490234375,5307340000.0,0.005061564507612255,12644.4599609375,205.599609375,261.46630859375,267.2627883184524,-0.011904840056636057,2,12636.9359375,12032.456103515626,0,1,64.36562154487672,0,5315340000.0,0,-0.8875342804437062,3,1.3,36.66666666666667
35,2022-08-10,12854.7998046875,12861.4404296875,12698.6103515625,12793.4404296875,5196210000.0,-0.004796159042380346,12493.9296875,367.5107421875,270.01206752232144,271.6161644345238,0.028883635990728074,5,12674.2638671875,12112.81708984375,1,1,70.64672838345237,2,5220984000.0,0,1.9543440170451363,4,2.9000000000000004,90.0
36,2022-08-11,12779.91015625,13026.240234375,12760.08984375,12944.8203125,5815960000.0,0.012739470480772655,12854.7998046875,266.150390625,265.74930245535717,270.2709263392857,-0.005825812114957363,2,12686.1298828125,12189.253076171875,1,1,67.96919631033771,0,5293882000.0,1,-0.4639867677289877,3,1.5,43.333333333333336
37,2022-08-12,13047.1904296875,13047.1904296875,12821.2197265625,12866.3095703125,4782610000.0,-0.014058488052577358,12779.91015625,267.2802734375,274.29931640625,269.94903273809524,0.0209140964349257,5,12764.0580078125,12268.9916015625,1,1,72.04187761664065,2,5268144000.0,0,1.399077831608006,4,2.9000000000000004,90.0
38,2022-08-15,13128.0498046875,13146.0595703125,12993.7802734375,12996.6298828125,4476040000.0,-0.01011184615242428,13047.1904296875,152.279296875,267.36928013392856,267.50995163690476,0.006197454956740289,3,12860.7759765625,12357.3916015625,1,1,73.15396988416852,2,5115632000.0,0,0.37371704146193846,3,2.1,63.33333333333334
39,2022-08-16,13102.5498046875,13181.08984375,12979.240234375,13082.6396484375,5028410000.0,-0.0015218760727983463,13128.0498046875,201.849609375,244.70424107142858,262.5413411458333,-0.0019424057936537897,3,12982.5,12426.861572265625,1,1,72.17889597007046,2,5059846000.0,0,-0.1934160277967515,3,2.1,63.33333333333334
