,Period,Close,High,Low,Open,Volume,Prev Close,Weekday,p_change,TR,atr14,atr21,ma_short,ma_long,SMA_short,SMA_long,prev_ma_short,prev_ma_long,golden_cross,death_cross,ma_diff,ma_ratio,volatility,future_return_1d,score
857,2024-10-25,66642.4140625,68722.15625,65521.79296875,68165.296875,41469984306.0,68161.0546875,4,0.02234102809370329,3200.36328125,1968.589564732143,1946.6904761904761,67192.984375,65319.08046875,67676.0703125,62710.45375,67664.8421875,65091.4572265625,False,False,1873.9039062500015,1.0286884612092253,3200.36328125,0.0055862509670021755,53.0
858,2024-10-26,67014.6953125,67317.921875,66360.59375,66628.734375,19588098156.0,66642.4140625,5,-0.0057927100239925575,957.328125,1965.1476004464287,1959.8279389880952,67122.353125,65528.867578125,67616.26796875,62971.772578125,67192.984375,65319.08046875,False,False,1593.4855468749956,1.0243173063379312,957.328125,0.013647776181553464,57.0
859,2024-10-27,67929.296875,68221.3125,66847.2265625,67023.4765625,16721307878.0,67014.6953125,6,-0.01351497055894011,1374.0859375,1974.9383370535713,1971.6214657738096,67235.93125,65813.4994140625,67669.2140625,63247.564765625,67122.353125,65528.867578125,False,False,1422.4318359374884,1.02161307100521,1374.0859375,0.02912529686772207,65.0
860,2024-10-28,69907.7578125,70212.265625,67535.1328125,67922.671875,38799856657.0,67929.296875,0,-0.02922567506109314,2677.1328125,1877.56640625,1990.0013020833333,67931.04375,66202.2888671875,67818.1109375,63548.88859375,67235.93125,65813.4994140625,False,False,1728.7548828125,1.0261132192314477,2677.1328125,0.040234939054175516,70.0
861,2024-10-29,72720.4921875,73577.2109375,69729.9140625,69910.046875,58541874402.0,69907.7578125,1,-0.04020087867377789,3847.296875,1932.91015625,2109.8372395833335,68842.93125,66809.2083984375,68253.88671875,63862.907734375,67931.04375,66202.2888671875,False,False,2033.7228515624884,1.0304407566010025,3847.296875,-0.005238593875544237,47.0
862,2024-10-30,72339.5390625,72905.296875,71411.734375,72715.3671875,40646637831.0,72720.4921875,2,0.005168482805442067,1493.5625,1924.1244419642858,2076.4724702380954,69982.35625,67412.4603515625,68587.6703125,64156.724296875,68842.93125,66809.2083984375,False,False,2569.8958984374913,1.0381219715915313,1493.5625,-0.029366396164960357,35.0
863,2024-10-31,70215.1875,72662.3125,69590.5,72335.046875,40627912076.0,72339.5390625,3,0.029306117388204152,3071.8125,2053.1953125,2111.248511904762,70622.4546875,67800.965234375,68872.40390625,64414.164609375,69982.35625,67412.4603515625,False,False,2821.4894531249884,1.04161429624743,3071.8125,-0.01043533138752923,45.0
864,2024-11-01,69482.46875,71559.015625,68779.703125,70216.8984375,49989795365.0,70215.1875,4,0.01045944357900848,2779.3125,2123.72265625,2083.8469122023807,70933.0890625,68115.4375,69084.51015625,64641.27375,70622.4546875,67800.965234375,False,False,2817.651562500003,1.0413658293320072,2779.3125,-0.0027804900426771323,49.0
865,2024-11-02,69289.2734375,69867.3515625,69033.71875,69486.0234375,18184612091.0,69482.46875,5,0.0028315046719714653,833.6328125,2137.313058035714,2075.6620163690477,70809.3921875,68437.332421875,69370.21796875,64815.633203125,70933.0890625,68115.4375,False,False,2372.0597656249884,1.0346603188885661,833.6328125,-0.007911127116875392,46.0
866,2024-11-03,68741.1171875,69361.65625,67482.5234375,69296.3828125,34868307655.0,69289.2734375,6,0.00801290922359426,1879.1328125,2182.016183035714,2106.2390252976193,70013.5171875,68572.08203125,69428.22421875,64990.353125,70809.3921875,68437.332421875,False,False,1441.4351562499942,1.0210207290423687,1879.1328125,-0.013523338185854241,43.0
